File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user217_file92_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;13;273;4;4
user229_file102_yearofbirth_unknown_sex_unknown.23andme.txt;574405;224;5;219;16;5
user22_file8_yearofbirth_1975_sex_XY.23andme.txt;966977;297;19;278;6;5
user231_file93_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;278;7;2
user240_file94_yearofbirth_1948_sex_XX.23andme.txt;966983;302;19;283;5;4
user241_file107_yearofbirth_1984_sex_XY.23andme.txt;991624;297;12;285;8;5
user251_file97_yearofbirth_unknown_sex_XX.23andme.txt;960545;290;10;280;4;4
user252_file99_yearofbirth_unknown_sex_unknown.23andme.txt;574405;224;5;219;5;5
user253_file98_yearofbirth_unknown_sex_unknown.23andme.txt;966977;297;19;278;4;4
user254_file100_yearofbirth_1900_sex_XY.23andme.txt;966977;297;20;277;6;5
user258_file101_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;6;5
user262_file103_yearofbirth_1975_sex_XY.23andme.txt;578320;229;6;223;4;4
user266_file104_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;4;4
user267_file105_yearofbirth_unknown_sex_unknown.23andme.txt;574405;228;6;222;15;1
user268_file106_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;12;278;5;5
user26_file10_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;5;1
user277_file111_yearofbirth_unknown_sex_unknown.23andme.txt;18;0;0;0;0;0
user276_file110_yearofbirth_1972_sex_XY.23andme.txt;960545;286;10;276;4;4
user278_file112_yearofbirth_unknown_sex_XX.23andme.txt;645363;60;0;60;0;0
user279_file113_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;10;280;5;5
user280_file114_yearofbirth_1989_sex_XX.23andme.txt;991624;301;11;290;4;4
user281_file116_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;10;280;6;5
user284_file117_yearofbirth_1961_sex_XY.23andme.txt;991600;297;12;285;16;4
user285_file118_yearofbirth_1976_sex_XY.23andme.txt;996065;307;17;290;5;1
user287_file120_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;4;4
user288_file121_yearofbirth_1987_sex_XX.23andme.txt;960545;290;13;277;5;4
user294_file125_yearofbirth_1963_sex_XY.23andme.txt;966983;298;20;278;3;4
user295_file126_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;6;5
user296_file127_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;6;7
